epoch,loss,lr,mape,mse,val_loss,val_mape,val_mse
0,0.004076469223946333,0.001,150645.28125,0.004076469223946333,0.002534375060349703,530153.5625,0.002534375060349703
1,0.0034072778653353453,0.001,138507.609375,0.0034072778653353453,0.0025259433314204216,486249.125,0.0025259433314204216
2,0.0033761344384402037,0.001,130682.640625,0.0033761344384402037,0.0024957521818578243,316437.90625,0.0024957521818578243
3,0.0033560402225703,0.001,129728.390625,0.0033560402225703,0.002456082496792078,280556.28125,0.002456082496792078
4,0.00332815945148468,0.001,127771.75,0.00332815945148468,0.002482440322637558,264833.21875,0.002482440322637558
5,0.003312875749543309,0.001,119350.25,0.003312875749543309,0.002498120069503784,122114.703125,0.002498120069503784
6,0.003311706008389592,0.001,118317.015625,0.003311706008389592,0.002503341995179653,184993.75,0.002503341995179653
7,0.003304429352283478,0.001,117197.515625,0.003304429352283478,0.0024870634078979492,151370.609375,0.0024870634078979492
8,0.003287861356511712,0.001,116421.96875,0.003287861356511712,0.0024874189402908087,101995.3046875,0.0024874189402908087
9,0.003287691855803132,0.001,110310.7890625,0.003287691855803132,0.002457293448969722,54976.03515625,0.002457293448969722
10,0.003285009879618883,0.001,114460.796875,0.003285009879618883,0.0024397256784141064,152100.03125,0.0024397256784141064
11,0.0032062262762337923,0.000100000005,114086.7109375,0.0032062262762337923,0.0023877928033471107,140669.78125,0.0023877928033471107
12,0.003198514459654689,0.000100000005,114617.6328125,0.003198514459654689,0.0023869455326348543,180973.640625,0.0023869455326348543
13,0.003189189126715064,0.000100000005,109866.65625,0.003189189126715064,0.0023907413706183434,200747.734375,0.0023907413706183434
14,0.003183109685778618,0.000100000005,113272.0703125,0.003183109685778618,0.00239334418438375,148496.75,0.00239334418438375
15,0.003182011190801859,0.000100000005,111703.984375,0.003182011190801859,0.002386869629845023,207695.046875,0.002386869629845023
16,0.003188920207321644,0.000100000005,109528.171875,0.003188920207321644,0.0023880088701844215,162535.59375,0.0023880088701844215
17,0.00318251084536314,0.000100000005,105234.296875,0.00318251084536314,0.0023917187936604023,183022.875,0.0023917187936604023
18,0.003176125232130289,0.000100000005,109948.4375,0.003176125232130289,0.002393679693341255,173075.59375,0.002393679693341255
19,0.0031754234805703163,0.000100000005,107663.9921875,0.0031754234805703163,0.0023892135359346867,182699.84375,0.0023892135359346867
